June 2018 Tejon Seedling Counts,,,,1 = All Excluded    2 = Cows Excluded   3 = Control,,,,,,,,,,,,,,
"Carina Motta, Devyn Orr",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Location,Year,Month,Site,Block,Plot,Transect,# seedlings,# after 1st yr,# old seedlings,dead,clump,alive dess,dead dess,herb above,herb below,notes ,,Total_Alive and dead
Tejon,2018,June,Mesic,1,1,2,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,2,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,2,,2,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,2,3,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,2,,,1,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,2,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,,1,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,,1,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,,1,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,6,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,1,,2,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,2,23,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,2,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,2,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,2,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,2,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,2,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,2,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,,1,,,,,,,,,
